Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,56,2021.1,GERSON HENRIQUE PFITSCHER (150h),23456N3,1,4,A definir
ENE0054,LABORATÓRIO DE ELETROMAGNETISMO 2,A,2021.1,PLINIO RICARDO GANIME ALVES (30h),2T23,12,13,SG-11 A1 34/15
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,57,2021.1,FLAVIA MARIA GUERRA DE SOUSA ARANHA OLIVEIRA (150h),23456T6 23456N,1,1,A definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,43,2021.1,IVAN MARQUES DE TOLEDO CAMARGO (150h),23456N3,1,3,A definir
ENE0299,TRABALHO DE CONCLUSÃO DE CURSO 2,52,2021.1,JOAO PAULO LEITE (150h),23456N3,1,1,A definir
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,44,2021.1,RAFAEL AMARAL SHAYANI (30h),7T23,1,1,A definir
ENE0044,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,A,2021.1,MARCELO MENEZES DE CARVALHO (30h),6M12,20,9,A Definir
ENE0001,ELETRICIDADE BÁSICA,B,2021.1,RAFAEL AMARAL SHAYANI (60h),35M12,60,35,SG-11 A1 57/12
ENE0194,ANTENAS,A,2021.1,MARCO ANTONIO BRASIL TERADA (60h),24T6 24N1,40,23,A Definir
ENE0063,ESTÁGIO SUPERVISIONADO EM ENGENHARIA DE REDES DE COMUNICAÇÃO,B,2021.1,DANIEL GUERREIRO E SILVA (180h),7M1234 7T2345 6N123,4,2,Remoto
ENE0295,LABORATÓRIO DE PRINCÍPIOS DE COMUNICAÇÃO,A,2021.1,LEONARDO AGUAYO (30h),2M12,20,16,SG-11 A1-09/12
ENE0309,TRABALHO DE CONCLUSÃO DE CURSO 1,51,2021.1,FLAVIA MARIA GUERRA DE SOUSA ARANHA OLIVEIRA (30h),7T23,10,1,virtual
