Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
MAT0031,INTRODUCAO A ALGEBRA LINEAR,A,2021.1,PEDRO ROITMAN (60h),24T45,70,39,ICC ANF. 2
MAT0025,CÁLCULO 1,H,2021.1,MARCELO FERNANDES FURTADO (30h),356M12,80,45,BSA N A1 60/09 E ICC ANF.12
MAT0027,CÁLCULO 3,04A,2021.1,LUIZ CLAUDIO PEREIRA (90h),2M1234 4M12,40,8,FUP
MAT0025,CÁLCULO 1,B,2021.1,LUCIANA MARIA DIAS DE AVILA RODRIGUES (30h),246T23,80,40,ICC ANF.12 E ICC ANF. 3
MAT0027,CÁLCULO 3,J,2021.1,RICARDO PARREIRA DA SILVA (90h),356M12,70,66,BSA S B2 41/13 E BSA S B2 47/13
MAT0026,CÁLCULO 2,B,2021.1,ANGEL RODOLFO BAIGORRI (90h),235M34,70,44,ICC ANF. 3 E ICC ANF. 5
MAT0026,CÁLCULO 2,A,2021.1,CELIUS ANTONIO MAGALHAES (90h),235M12,70,13,ICC ANF. 8
MAT0022,MATEMATICA 1,A,2021.1,LEANDRO MARTINS CIOLETTI (30h),24T45,80,54,ICC ANF.12
MAT0025,CÁLCULO 1,M,2021.1,GUY GREBOT (60h),235M34,80,44,ICC ANF. 7 E ICC ANF. 8
MAT0027,CÁLCULO 3,01A,2021.1,TATIANE DA SILVA EVANGELISTA (90h),235M34,80,77,Remoto - FGA
MAT0010,GEOMETRIA ANALÍTICA PARA MATEMÁTICA,B,2021.1,TARCISIO CASTRO SILVA (60h),2N34 4N12,51,40,ICC ASS 433/10
MAT0027,CÁLCULO 3,G,2021.1,ANDRE CALDAS DE SOUZA (90h),356M12,71,23,BSA S A2 16/22
MAT0050,GEOMETRIA DIFERENCIAL 1,A,2021.1,JOAO PAULO DOS SANTOS (60h),35T23,40,13,Darcy ribeiro
MAT0025,CÁLCULO 1,J,2021.1,ADAIL DE CASTRO CAVALHEIRO (30h),246T23,80,50,ICC ANF.19
MAT0027,CÁLCULO 3,B,2021.1,CLAUS AKIRA MATSUSHIGUE (90h),356M12,70,24,ICC ANF.18
MAT0025,CÁLCULO 1,A,2021.1,ALINE GOMES DA SILVA PINTO (30h),235M34,80,52,BSA N AT 09/41 E BSA S A1 16/22 E ICC ANF.12
MAT0026,CÁLCULO 2,L,2021.1,HENRIQUE COSTA DOS REIS (90h),235M12,70,21,BSA N A1 22/4
MAT0025,CÁLCULO 1,04A,2021.1,RONNI GERALDO GOMES DE AMORIM (90h),235T23,130,77,Remoto - FGA
MAT0023,MATEMATICA 2,A,2021.1,MANUELA CAETANO MARTINS DE REZENDE (60h),46T23,65,52,ICC ANF. 2
MAT0026,CÁLCULO 2,G,2021.1,LUIZ DE OLIVEIRA AMORIM (90h),235M12,70,59,ICC ANF. 4 E ICC ANF. 6
MAT0031,INTRODUCAO A ALGEBRA LINEAR,04A,2021.1,TAIS CALLIERO TOGNETTI (60h),35M5 35T1,100,41,Remoto - FGA
MAT0026,CÁLCULO 2,K,2021.1,KELLCIO OLIVEIRA ARAUJO (90h),246T23,70,27,ICC ANF.13
MAT0031,INTRODUCAO A ALGEBRA LINEAR,I,2021.1,ALEXEI KRASSILNIKOV (60h),35T45,70,49,ICC ANF.15
MAT0026,CÁLCULO 2,M,2021.1,MAURO MORAES ALVES PATRAO (90h),235M34,70,42,darcy ribeiro
MAT0022,MATEMATICA 1,H,2021.1,ANDREA GENOVESE DE OLIVEIRA (30h),35M12,80,58,ICC ANF.16 E ICC ANF. 3
MAT0122,ÁLGEBRA PARA O ENSINO 1,B,2021.1,RUI SEIMETZ (90h),2T23 3T2345,32,29,ASS 421/10
MAT0025,CÁLCULO 1,K,2021.1,KELLCIO OLIVEIRA ARAUJO (60h),2N12 35N34,80,47,virtual
MAT0025,CÁLCULO 1,05A,2021.1,RICARDO RAMOS FRAGELLI (90h),246M34,130,98,Remoto - FGA
MAT0023,MATEMATICA 2,B,2021.1,MANUELA CAETANO MARTINS DE REZENDE (60h),35T23,65,55,ICC ANF. 6
MAT0114,GEOMETRIA 2,A,2021.1,NILTON MOURA BARROSO NETO (60h),2N34 4N12,70,81,ICC ASS 432/10
MAT0022,MATEMATICA 1,K,2021.1,TARCISIO CASTRO SILVA (30h),2N12 6N34,80,19,ICC ANF.12
MAT0031,INTRODUCAO A ALGEBRA LINEAR,J,2021.1,VICTOR PETROGRADSKIY (60h),24T45,70,23,ICC ANF. 8
MAT0025,CÁLCULO 1,D,2021.1,MARTINO GARONZI (30h),235M34,80,55,ICC ANF. 2 E ICC ANF. 8
MAT0025,CÁLCULO 1,42,2021.1,WESCLEY WELL VICENTE BEZERRA (90h),5N1234 6N12,40,27,Remoto - FUP
MAT0025,CÁLCULO 1,SC,2021.1,EMERSON FERREIRA DE MELO (30h),246M5 246T1,35,17,BSA S B2 54/13
MAT0087,SEMINARIO TOPICOS ESPECIAIS,A,2021.1,MARCELO FERNANDES FURTADO (30h),5N12,43,41,Remoto
MAT0028,VARIAVEL COMPLEXA 1,B,2021.1,LEANDRO MARTINS CIOLETTI (90h),235T23,65,14,ICC ANF.15 E ICC ANF.16
MAT0022,MATEMATICA 1,H,2021.1,JOSE LUIS TERUEL CARRETERO (30h),35M12,80,58,ICC ANF.16 E ICC ANF. 3
MAT0025,CÁLCULO 1,C,2021.1,MARCELO FERNANDES FURTADO (30h),356M12,80,47,ICC ANF.12 E ICC ANF. 6
MAT0034,ALGEBRA 1,B,2021.1,ALEX CARRAZEDO DANTAS (60h),35M12,45,34,remoto
MAT0022,MATEMATICA 1,AB,2021.1,LEANDRO MARTINS CIOLETTI (30h),24T45,80,59,ICC ANF.12 E ICC ANF.15
MAT0026,CÁLCULO 2,02A01,2021.1,ROGERIO CESAR DOS SANTOS (90h),2N1234 4N12,20,12,FUP
MAT0038,TEORIA DOS NÚMEROS 1,B,2021.1,DIEGO MARQUES FERREIRA (60h),3N12 5N12,70,56,ICC ANF.15
MAT0026,CÁLCULO 2,I,2021.1,LUCAS CONQUE SECO FERREIRA (90h),235M34,70,12,ICC ANF. 4
MAT0026,CÁLCULO 2,02A,2021.1,LUIZA YOKO TANEGUTI (90h),246M12,101,85,Remoto - FGA
MAT0136,REGÊNCIA 1,A,2021.1,IGOR DOS SANTOS LIMA (120h),7T2345 5N1234,16,0,ASS 451/10
MAT0025,CÁLCULO 1,SB,2021.1,JOSE ANTONIO OLIVEIRA DE FREITAS (30h),246M5 246T1,35,29,BSA S B2 41/10
