Código,Nome,Turma,Ano-Período,Docente,Horário,Qtde Vagas Ofertadas,Qtde Vagas Ocupadas,Local
ENM0129,PROJETO DE GRADUACAO 1,07,2021.1,ALYSSON MARTINS ALMEIDA SILVA (30h),6N12 ,4,4,a definir
ENM0194,FUNDAMENTOS DE MAGNETOHIDRODINÂMICA,01,2021.1,FRANCISCO RICARDO DA CUNHA (60h),5T456 5N1 ,10,3,a definir
ENM0173,SISTEMAS MECANICOS,A,2021.1,AIDA ALVES FADEL (60h),35T45,15,7,ENM DT 25/15
ENM0176,INTRODUÇÃO A ECOLOGIA INDUSTRIAL,A,2021.1,ARMANDO DE AZEVEDO CALDEIRA PIRES (60h),24T45,25,14,ENM GT 11/20
ENM0125,PROJETO DE MECANISMOS,01A,2021.1,MARCELA RODRIGUES MACHADO (60h),35M12,30,4,a definir
ENM0129,PROJETO DE GRADUACAO 1,44,2021.1,TAYGOARA FELAMINGO DE OLIVEIRA (30h),6N12 ,4,0,a definir
ENM0130,PROJETO DE GRADUACAO 2,44,2021.1,TAYGOARA FELAMINGO DE OLIVEIRA (90h),7T123456 ,4,2,a definir
DPG0635,MECÂNICA DOS MATERIAIS COMPOSITOS,A,2021.1,EDER LIMA DE ALBUQUERQUE (60h),6M1234 ,4,6,a definir
ENM0120,MECANICA 1,A,2021.1,EDGAR NOBUO MAMIYA (60h),46T23,48,34,ENM DT 11/15
DPG0805,DINAMICA DOS FLUÍDOS NÃO-NEWTONIANOS,01,2021.1,FRANCISCO RICARDO DA CUNHA (60h),3T456 3N1 ,1,1,A definir.
ENM0129,PROJETO DE GRADUACAO 1,12,2021.1,ARMANDO DE AZEVEDO CALDEIRA PIRES (30h),6N12 ,4,1,a designar
ENM0090,MATERIAIS DE CONSTRUCAO MECANICA 1,A,2021.1,COSME ROBERTO MOREIRA DA SILVA (90h),2M12 4M12 6M12,14,12,ENM DT 16/15 E SG 09
ENM0080,FENOMENOS DE TRANSPORTE,H,2021.1,FELIPE CHAGAS STORTI (60h),2M4 35T23,31,32,REMOTO FGA
ENM0068,TERMODINAMICA 1,A,2021.1,MARIO BENJAMIM BAPTISTA DE SIQUEIRA (60h),35T45,40,24,ENM DT 11/15
ENM0128,TRANSPORTE DE CALOR E MASSA,A,2021.1,RAFAEL GABLER GONTIJO (60h),3M34 5M34,40,34,ENM DT 16/15
ENM0130,PROJETO DE GRADUACAO 2,39,2021.1,MARIO BENJAMIM BAPTISTA DE SIQUEIRA (90h),7T123456 ,4,2,a definir
ENM0130,PROJETO DE GRADUACAO 2,51,2021.1,AIDA ALVES FADEL (90h),7T123456 ,4,1,a definir
ENM0130,PROJETO DE GRADUACAO 2,28,2021.1,JOAO MANOEL DIAS PIMENTA (90h),7T123456 ,4,1,a definir
DPG0820,PROCESSAMENTO DE SINAIS,02,2021.1,RICARDO LOPES DE QUEIROZ (60h),24T23,1,0,A definir
ENM0124,PROJETO DE SISTEMAS MECANICOS,A,2021.1,ANTONIO MANOEL DIAS HENRIQUES (60h),3M34 5M34,40,20,DT 43/15
ENM0124,PROJETO DE SISTEMAS MECANICOS,B,2021.1,ANTONIO MANOEL DIAS HENRIQUES (60h),7M1234 ,25,20,DT 43/15
ENM0130,PROJETO DE GRADUACAO 2,35,2021.1,LUIS AUGUSTO CONTE MENDES VELOSO (90h),7T123456 ,4,1,a definir
ENM0076,TOPICOS ESPECIAIS EM SISTEMAS TERMICOS,A,2021.1,EDGAR AMARAL SILVEIRA (60h),2M12 4M12,20,2,ENM GT 11/20
ENM0082,MECANICA DOS FLUIDOS 2,05,2021.1,RAFAEL GABLER GONTIJO (75h),24M34 6M3,20,0,a definir
ENM0129,PROJETO DE GRADUACAO 1,35,2021.1,LUIS AUGUSTO CONTE MENDES VELOSO (30h),56T1,4,3,a definir
ENM0129,PROJETO DE GRADUACAO 1,14,2021.1,CARLOS ALBERTO GURGEL VERAS (30h),7N12 ,4,1,a designar
ENM0183,VIBRAÇÕES : APLICAÇÕES INDUSTRIAIS E TECNOLÓGICAS,01A,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (60h),35T23,25,3,a definir
ENM0157,ESCOAMENTO COMPRESSIVEL,01,2021.1,BRAULIO GUTIERREZ PIMENTA (60h),24T45,30,7,ENM DT 16/15
DPG0921,FADIGA DOS MATERIAIS,A,2021.1,JORGE LUIZ DE ALMEIDA FERREIRA (60h),2M1234 ,3,3,a definir
ENM0160,METODOS NUMERICOS EM TERMOFLUIDOS,01,2021.1,ADRIANO POSSEBON ROSA (60h),6T2345 ,20,7,a definir
ENM0068,TERMODINAMICA 1,C,2021.1,ARMANDO DE AZEVEDO CALDEIRA PIRES (60h),3T45 5T45,40,26,DT 43/15
ENM0146,TECNOLOGIA MECANICA 1,01B,2021.1,DEBORAH DE OLIVEIRA (60h),5M12 3T23,20,10,ENM DT 11/15 E SG 09
ENM0171,PROCESSOS DE FABRICACAO,B,2021.1,WALTER GENNARI JUNIOR (60h),46N12,50,29,ENM DT 34/15
ENM0131,DESENHO MECANICO ASSISTIDO POR COMPUTADOR 1,01A,2021.1,ALBERTO CARLOS GUIMARAES CASTRO DINIZ (30h),3T2345 5T45,50,38,ENM DT 34/15 E FT ET-70/14 LCC
ENM0129,PROJETO DE GRADUACAO 1,08,2021.1,ANDRE VON BORRIES LOPES (30h),7N12 ,4,2,a definir
